Level1,Level2,Level3,Level4,Federal,Total,Paper_ID,Top_Words1,Top_Topic1,KCluster
2014-2017,0,Algorithm selection by rational metareasoning as a model of human strategy selection,Human Decision-Making under Limited Time,4.161,4.161,5552,"[u'neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
2011-2014,1,Bayesian inference for low rank spatiotemporal neural receptive fields,On Prior Distributions and Approximate Inference for Structured Variables,0.156,0.156,4992,"[u'rank', u'low', u'conditional', u'model', u'estimates', u'likelihood', u'gaussian', u'data', u'posterior', u'using']",[9],4
2005-2008,2,Conditional mean field,Sequential Monte Carlo for Graphical Models,0.397,0.397,3118,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,3,Progressive mixture rules are deviation suboptimal,Greedy Model Averaging,1.936,1.936,3303,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
1999-2002,4,Laplacian Eigenmaps and Spectral Techniques for Embedding and Clustering,Locality Preserving Projections,3.458,3.458,1961,"[u'classifier', u'problem', u'set', u'training', u'algorithm', u'rate', u'kernel', u'one', u'svm', u'learning']",[1],4
2011-2014,5,One-shot learning by inverting a compositional causal process,Unsupervised Learning by Program Synthesis,0.077,0.077,5128,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,5,One-shot learning by inverting a compositional causal process,Softstar: Heuristic-Guided Probabilistic Inference,0.161,0.161,5128,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,5,One-shot learning by inverting a compositional causal process,Ladder Variational Autoencoders,2.965,2.965,5128,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2014-2017,6,Copula variational inference,Stein Variational Gradient Descent: A General Purpose Bayesian Inference Algorithm,0.343,0.343,5669,"[u'copula', u'variational', u'mean', u'inference', u'field', u'latent', u'copulas', u'parameters', u'model', u'variables']",[8],7
2014-2017,6,Copula variational inference,Scaling Factorial Hidden Markov Models: Stochastic Variational Inference without Messages,0.097,0.097,5669,"[u'copula', u'variational', u'mean', u'inference', u'field', u'latent', u'copulas', u'parameters', u'model', u'variables']",[8],7
2008-2011,7,Large Margin Multi-Task Metric Learning,Similarity Component Analysis,0.08,0.08,3935,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
2011-2014,8,Sequence to Sequence Learning with Neural Networks,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation",2.055,2.055,5346,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2014-2017,9,Sequence to Sequence Learning with Neural Networks,"Parallel Multi-Dimensional LSTM, With Application to Fast Biomedical Volumetric Image Segmentation",1.087,1.087,5346,"[u'neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
2011-2014,10,Learning Stochastic Inverses,Just-In-Time Learning for Fast and Flexible Inference,0.803,0.803,4966,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2005-2008,11,How SVMs can estimate quantiles and the median,Sparsity of SVMs that use the epsilon-insensitive loss,0.468,0.468,3180,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
1993-1996,12,A Practical Monte Carlo Implementation of Bayesian Learning,Gaussian Processes for Regression,282.819,282.819,1029,"[u'weights', u'training', u'method', u'monte', u'carlo', u'prior', u'network', u'hidden', u'weight', u'given']",[3],3
2008-2011,13,Spike timing-dependent plasticity as dynamic filter,Towards a learning-theoretic analysis of spike-timing dependent plasticity,10.027,10.027,3917,"[u'pre', u'post', u'synaptic', u'spike', u'postsynaptic', u'stdp', u'learning', u'model', u'rate', u'changes']",[6],9
2005-2008,0,Natural Actor-Critic for Road Traffic Optimisation,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes,0.474,0.474,3087,"[u'traffic', u'log', u'dimension', u'time', u'learning', u'policy', u'intersection', u'gradient', u'doubling', u'nac']",[1],0
2005-2008,1,A general agnostic active learning algorithm,Linear Classification and Selective Sampling Under Low Noise Conditions,1.09,1.09,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Sufficient Conditions for Agnostic Active Learnable,0.2,0.2,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Multi-View Active Learning in the Non-Realizable Case,0.344,0.344,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Agnostic Active Learning Without Constraints,0.418,0.418,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Active Learning with a Drifting Distribution,0.374,0.374,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Lower Bounds for Passive and Active Learning,1.507,1.507,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Agnostic Selective Classification,0.426,0.426,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Active Learning Ranking from Pairwise Preferences with Almost Optimal Query Complexity,0.526,0.526,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Auditing: Active Learning with Outcome-Dependent Query Costs,0.069,0.069,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Statistical Active Learning Algorithms,0.057,0.057,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Beyond Disagreement-Based Agnostic Active Learning,0.0,337.8,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Active Regression by Stratification,0.0,7.1,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Convergence Rates of Active Learning for Maximum Likelihood Estimation,0.0,397.0,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Efficient and Parsimonious Agnostic Active Learning,0.103,0.103,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Active Learning from Weak and Strong Labelers,0.673,0.673,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Active Learning with Oracle Epiphany,0.82,0.82,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Active Learning from Imperfect Labelers,4.426,4.426,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,1,A general agnostic active learning algorithm,Search Improves Label for Active Learning,0.12,0.12,3325,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2008-2011,2,Free energy score space,Documents as multiple overlapping windows into grids of counts,0.123,0.123,3830,"[u'data', u'model', u'algorithm', u'log', u'problem', u'clustering', u'approximation', u'matrix', u'set', u'bound']",[9],3
1987-1990,3,An Optimality Principle for Unsupervised Learning,Unsupervised Learning of Mixtures of Multiple Causes in Binary Data,1.26,1.26,139,"[u'network', u'learning', u'input', u'output', u'units', u'hidden', u'unit', u'training', u'layer', u'weights']",[0],2
2011-2014,4,Near-optimal sample compression for nearest neighbors,Active Nearest-Neighbor Learning in Metric Spaces,0.323,0.323,5528,"[u'points', u'set', u'point', u'nearest', u'neighbor', u'learning', u'convergence', u'dimension', u'distribution', u'theorem']",[0],6
2014-2017,5,Near-optimal sample compression for nearest neighbors,Active Nearest-Neighbor Learning in Metric Spaces,15.364,15.364,5528,"[u'nearest', u'neighbor', u'probability', u'bounds', u'distribution', u'points', u'point', u'nearest', u'neighbor', u'distance', u'lower', u'algorithm', u'problem', u'bounds', u'action']","[1, 7, 9]",6
1999-2002,6,Structure Learning in Human Causal Induction,The Rescorla-Wagner Algorithm and Maximum Likelihood Estimation of Causal Parameters,1.305,1.305,1845,"[u'causal', u'model', u'learning', u'power', u'theory', u'cause', u'non', u'contingent', u'potential', u'curves']",[0],7
1999-2002,6,Structure Learning in Human Causal Induction,Augmented Rescorla-Wagner and Maximum Likelihood Estimation,0.494,0.494,1845,"[u'causal', u'model', u'learning', u'power', u'theory', u'cause', u'non', u'contingent', u'potential', u'curves']",[0],7
1993-1996,7,A Charge-Based CMOS Parallel Analog Vector Quantizer,Stochastic Mixed-Signal VLSI Architecture for High-Dimensional Kernel Machines,0.685,0.685,947,"[u'output', u'distance', u'analog', u'wta', u'vector', u'voltage', u'input', u'template', u'cell', u'figure']",[3],6
2011-2014,8,Demixing odors - fast inference in olfaction,Fast Sampling-Based Inference in Balanced Neuronal Networks,12.475,12.475,4876,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2008-2011,9,Efficient Match Kernel between Sets of Features for Visual Recognition,Kernel Descriptors for Visual Recognition,0.208,0.208,3874,"[u'image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
2008-2011,9,Efficient Match Kernel between Sets of Features for Visual Recognition,Hierarchical Matching Pursuit for Image Classification: Architecture and Fast Algorithms,1.679,1.679,3874,"[u'image', u'images', u'object', u'visual', u'concept', u'content', u'objects', u'class', u'set', u'face']",[7],5
2014-2017,10,Optimal Tagging with Markov Chain Optimization,The Power of Optimization from Samples,19.577,19.577,6041,"[u'sampling', u'sgd', u'linear', u'dependence', u'sup', u'k22', u'convergence', u'convex', u'weighted', u'weights']",[3],2
2011-2014,11,Multivariate f-divergence Estimation With Confidence,"Nonparametric von Mises Estimators for Entropies, Divergences and Mutual Informations",0.06,0.06,5490,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2014-2017,12,Multivariate f-divergence Estimation With Confidence,"Nonparametric von Mises Estimators for Entropies, Divergences and Mutual Informations",0.0,104.4,5490,"[u'neural', u'fingerprints', u'bfgs', u'algorithm', u'lstm', u'learning', u'convex', u'selection', u'algorithm', u'strategy']","[0, 2]",8
2005-2008,13,Estimating divergence functionals and the likelihood ratio by penalized convex risk minimization,Convex Multiple-Instance Learning by Estimating Likelihood Ratio,0.0,413.3,3193,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
